Job_ID,Job_Title,Company,Company_Type,Industry,City,Location_Tier,Experience_Level,Job_Type,Work_Mode,Salary_LPA,Skills_Required,Education_Required,Openings,Applicants,Company_Rating,Date_Posted
IND2025083,Data Analyst,HAL,PSU/Govt,FinTech,Remote,Remote,Junior (1-3 yrs),Internship,On-Site,2.8,"Power BI, SQL, Data Visualization, Tableau, Excel",MCA,2,114,4.0,2025-07-01
IND2025095,Data Analyst,Deloitte,MNC,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,On-Site,9.6,"Data Visualization, Tableau, Power BI, SQL, Excel",B.Tech/B.E.,3,174,3.8,2024-07-23
IND2025096,Data Analyst,Zoho,Indian Unicorn,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,24.3,"Python, Power BI, Excel, Data Visualization, Statistics",MCA,2,63,2.9,2025-11-04
IND2025108,Business Analyst,Zerodha,Startup,Manufacturing,Bhubaneswar,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,34.1,"SQL, Agile, Excel",B.Tech/B.E.,2,108,4.2,2026-01-08
IND2025111,Business Analyst,Urban Company,Startup,Consulting,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,9.3,"Requirements Gathering, Agile, JIRA, Power BI, Excel",MCA,1,74,3.4,2025-01-22
IND2025113,Business Analyst,Leadsquared,Startup,EdTech,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,73.0,"Excel, Power BI, JIRA, Agile, SQL",M.Tech/M.E.,2,74,4.3,2025-07-29
IND2025118,Data Engineer,Freshworks,Indian Unicorn,Information Technology,Mumbai,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,8.7,"SQL, dbt, Airflow, AWS, ETL",M.Tech/M.E.,3,225,3.2,2024-11-20
IND2025119,Data Engineer,Cisco,MNC,Information Technology,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,55.5,"Python, Airflow, Spark",B.Sc (CS/IT),1,102,2.7,2026-03-08
IND2025120,Business Analyst,Ola,Indian Unicorn,EdTech,Bhubaneswar,Tier 2,Lead (10+ yrs),Full-Time,On-Site,81.3,"Agile, Power BI, JIRA",M.Tech/M.E.,2,203,3.7,2024-06-18
IND2025130,Data Engineer,PhonePe,Indian Unicorn,Information Technology,Remote,Remote,Fresher (0-1 yr),Internship,Remote,1.2,"dbt, AWS, Airflow",MCA,1,98,4.0,2025-04-07
IND2025132,Data Analyst,HAL,PSU/Govt,Information Technology,Remote,Remote,Lead (10+ yrs),Full-Time,On-Site,21.1,"Tableau, Power BI, Data Visualization, Python",M.Tech/M.E.,3,262,3.6,2026-04-27
IND2025133,Data Scientist,IBM,MNC,FinTech,Remote,Remote,Fresher (0-1 yr),Part-Time,On-Site,5.6,"NLP, Deep Learning, Pandas, Statistics",M.Tech/M.E.,2,202,3.5,2024-09-08
IND2025151,Data Analyst,Cisco,MNC,Consulting,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,16.0,"Power BI, Statistics, Tableau",MCA,1,42,3.7,2025-01-31
IND2025154,Data Scientist,Slice,Startup,Logistics,Hyderabad,Tier 1,Junior (1-3 yrs),Contract,On-Site,18.2,"Statistics, Pandas, Tableau, Deep Learning, NLP, Machine Learning",B.Tech/B.E.,5,464,3.1,2025-03-05
IND2025158,Business Analyst,InMobi,Startup,Information Technology,Chennai,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,5.2,"JIRA, Power BI, Agile, Excel, Requirements Gathering, SQL",B.Sc (CS/IT),15,756,4.1,2024-08-16
IND2025164,Data Engineer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,14.5,"AWS, dbt, SQL, Spark, ETL, Python",B.Sc (CS/IT),3,199,4.1,2025-02-09
IND2025178,Data Scientist,ONGC,PSU/Govt,Information Technology,Remote,Remote,Senior (6-10 yrs),Contract,Remote,24.2,"TensorFlow, Tableau, Deep Learning, Scikit-learn, Pandas",B.Sc (CS/IT),15,934,3.5,2024-09-09
IND2025182,Data Scientist,Leadsquared,Startup,Information Technology,Kochi,Tier 2,Lead (10+ yrs),Full-Time,Hybrid,94.8,"TensorFlow, Scikit-learn, NLP, Deep Learning, Machine Learning",B.Tech/B.E.,1,84,4.0,2025-09-14
IND2025185,Data Scientist,Setu,Startup,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,26.5,"NLP, TensorFlow, Machine Learning, Scikit-learn, Pandas",MBA,1,44,3.1,2025-12-24
IND2025188,Data Analyst,Wipro,MNC,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.1,"Data Visualization, SQL, Excel, Tableau, Power BI, Python",MCA,2,171,2.6,2025-07-19
IND2025189,Business Analyst,Slice,Startup,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,5.2,"Excel, SQL, Requirements Gathering, Power BI, JIRA",B.Sc (CS/IT),1,33,4.3,2024-11-19
IND2025193,Business Analyst,Google,MNC,Government/PSU,Mumbai,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,5.4,"SQL, JIRA, Agile",B.Tech/B.E.,3,156,3.0,2026-01-09
IND2025194,Business Analyst,Fi Money,Startup,Information Technology,Remote,Remote,Mid (3-6 yrs),Part-Time,On-Site,19.3,"Power BI, JIRA, Agile",B.Sc (CS/IT),3,131,4.1,2025-08-11
IND2025195,Data Analyst,Hasura,Startup,Gaming,Indore,Tier 2,Junior (1-3 yrs),Full-Time,Hybrid,10.4,"Excel, SQL, Tableau, Python, Data Visualization",B.Tech/B.E.,5,504,3.7,2025-03-06
IND2025211,Business Analyst,BrowserStack,Startup,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,22.7,"Excel, Agile, SQL",B.Tech/B.E.,1,99,4.1,2026-03-04
IND2025220,Business Analyst,Darwinbox,Startup,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,On-Site,41.4,"JIRA, Requirements Gathering, Power BI, SQL",M.Tech/M.E.,5,313,3.4,2025-01-11
IND2025224,Business Analyst,BSNL,PSU/Govt,Logistics,Delhi,Tier 1,Lead (10+ yrs),Full-Time,Hybrid,22.6,"SQL, Excel, Requirements Gathering, Power BI, Agile",BCA,1,109,3.9,2025-10-07
IND2025229,Data Engineer,Zomato,Indian Unicorn,Banking & Finance,Chennai,Tier 1,Mid (3-6 yrs),Part-Time,Hybrid,25.6,"Spark, AWS, ETL, Airflow",B.Tech/B.E.,1,88,4.1,2024-11-13
IND2025235,Data Analyst,BEL,PSU/Govt,Manufacturing,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.3,"Statistics, Excel, Data Visualization, Python, Tableau, SQL",MBA,1,64,3.9,2025-01-21
IND2025239,Data Engineer,BHEL,PSU/Govt,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,15.4,"ETL, dbt, Python, Spark",B.Sc (CS/IT),2,238,4.2,2025-08-06
IND2025240,Business Analyst,Leadsquared,Startup,Manufacturing,Delhi,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,26.8,"Requirements Gathering, SQL, JIRA, Power BI, Excel",B.Tech/B.E.,2,184,4.2,2025-02-22
IND2025244,Data Analyst,BrowserStack,Startup,Government/PSU,Ahmedabad,Tier 2,Fresher (0-1 yr),Full-Time,On-Site,4.3,"Excel, Statistics, Power BI, Tableau",B.Tech/B.E.,1,89,3.2,2026-03-04
IND2025245,Data Scientist,Nykaa,Indian Unicorn,EdTech,Remote,Remote,Mid (3-6 yrs),Contract,Remote,36.9,"Tableau, Deep Learning, Scikit-learn, TensorFlow",B.Tech/B.E.,3,212,3.6,2026-03-18
IND2025246,Business Analyst,Postman,Startup,Consulting,Hyderabad,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,10.7,"Power BI, Requirements Gathering, SQL, JIRA, Excel",B.Sc (CS/IT),1,105,4.1,2025-10-02
IND2025263,Data Analyst,InMobi,Startup,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,On-Site,11.2,"Python, Tableau, Power BI",B.Tech/B.E.,2,164,4.0,2024-08-27
IND2025273,Business Analyst,Chargebee,Startup,Information Technology,Kolkata,Tier 2,Senior (6-10 yrs),Full-Time,On-Site,48.2,"Power BI, Requirements Gathering, Excel",B.Tech/B.E.,20,2107,3.0,2026-04-19
IND2025277,Data Analyst,Microsoft,MNC,E-Commerce,Remote,Remote,Mid (3-6 yrs),Full-Time,On-Site,19.0,"Statistics, Python, Data Visualization, Excel, Tableau, Power BI",B.Tech/B.E.,5,573,3.9,2024-07-15
IND2025290,Data Engineer,Google,MNC,EdTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,3.9,"ETL, AWS, Python",B.Tech/B.E.,2,84,3.6,2024-09-17
IND2025298,Data Engineer,Urban Company,Startup,Information Technology,Remote,Remote,Junior (1-3 yrs),Contract,On-Site,11.7,"ETL, AWS, Airflow, Spark",BCA,1,108,4.2,2024-08-26
IND2025300,Data Scientist,Razorpay,Indian Unicorn,EdTech,Hyderabad,Tier 1,Lead (10+ yrs),Full-Time,Hybrid,61.6,"Deep Learning, NLP, SQL, TensorFlow, Scikit-learn",B.Sc (CS/IT),1,96,4.0,2024-08-30
IND2025326,Data Analyst,Dream11,Indian Unicorn,EdTech,Indore,Tier 2,Junior (1-3 yrs),Full-Time,Hybrid,12.8,"Power BI, Excel, Python, SQL",MCA,2,232,3.9,2026-03-27
IND2025331,Business Analyst,Wipro,MNC,EdTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.7,"Excel, JIRA, SQL, Power BI, Agile",M.Tech/M.E.,1,83,4.3,2025-05-19
IND2025332,Business Analyst,TCS,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Part-Time,Remote,23.7,"JIRA, Power BI, Requirements Gathering, Excel, SQL",B.Com + Certification,3,345,3.5,2025-12-31
IND2025343,Business Analyst,Infosys,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.0,"Agile, Excel, JIRA, Power BI",MBA,1,51,4.1,2025-05-26
IND2025355,Data Engineer,Setu,Startup,Information Technology,Ahmedabad,Tier 2,Mid (3-6 yrs),Full-Time,Hybrid,22.1,"dbt, Spark, Kafka, Python, AWS, Airflow",M.Tech/M.E.,2,180,3.3,2025-04-04
IND2025381,Data Scientist,ISRO,PSU/Govt,Gaming,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,4.9,"TensorFlow, Deep Learning, Machine Learning",M.Tech/M.E.,2,94,4.2,2025-09-29
IND2025386,Data Engineer,ONGC,PSU/Govt,E-Commerce,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,10.4,"dbt, Python, SQL, Spark, ETL",B.Sc (CS/IT),1,65,3.6,2025-12-28
IND2025399,Data Analyst,Setu,Startup,Manufacturing,Mumbai,Tier 1,Lead (10+ yrs),Full-Time,On-Site,70.8,"Statistics, SQL, Excel, Data Visualization, Power BI",M.Tech/M.E.,5,510,3.9,2026-03-08
IND2025410,Data Engineer,Wipro,MNC,EdTech,Kolkata,Tier 2,Junior (1-3 yrs),Full-Time,On-Site,8.9,"Python, AWS, dbt, SQL",MCA,1,91,3.7,2026-02-20
IND2025414,Data Analyst,Accenture,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,34.2,"SQL, Data Visualization, Statistics, Python, Excel, Power BI",BCA,1,104,3.4,2025-07-17
IND2025416,Data Analyst,Zerodha,Startup,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,18.8,"Excel, SQL, Statistics, Data Visualization",M.Tech/M.E.,3,265,4.0,2025-04-16
IND2025421,Data Scientist,InMobi,Startup,FinTech,Ahmedabad,Tier 2,Junior (1-3 yrs),Full-Time,Hybrid,15.2,"NLP, Scikit-learn, SQL, Python",B.Tech/B.E.,10,496,3.3,2024-10-26
IND2025422,Business Analyst,Urban Company,Startup,Gaming,Jaipur,Tier 2,Lead (10+ yrs),Internship,Hybrid,2.9,"Power BI, Excel, SQL, JIRA",B.Tech/B.E.,5,588,4.2,2024-10-08
IND2025429,Data Scientist,Darwinbox,Startup,Banking & Finance,Mumbai,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,10.5,"Tableau, Python, NLP, SQL, Scikit-learn",M.Tech/M.E.,3,323,4.2,2025-05-05
IND2025433,Data Engineer,Dream11,Indian Unicorn,Manufacturing,Ahmedabad,Tier 2,Junior (1-3 yrs),Contract,Hybrid,10.0,"dbt, SQL, Spark, Airflow, AWS",MCA,10,1038,3.7,2024-12-01
IND2025435,Business Analyst,InMobi,Startup,HealthTech,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,"Requirements Gathering, Power BI, JIRA, SQL, Excel, Agile",BCA,1,102,3.2,2024-06-11
IND2025438,Data Analyst,Swiggy,Indian Unicorn,Information Technology,Remote,Remote,Lead (10+ yrs),Full-Time,On-Site,76.9,"Statistics, Data Visualization, SQL, Excel",B.Tech/B.E.,5,549,3.2,2024-09-07
IND2025440,Data Scientist,HCL Technologies,MNC,Information Technology,Delhi,Tier 1,Mid (3-6 yrs),Full-Time,On-Site,16.8,"SQL, NLP, Machine Learning, Deep Learning, Python, TensorFlow",B.Tech/B.E.,20,2028,4.0,2025-04-29
IND2025444,Data Analyst,Microsoft,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,5.8,"Tableau, Statistics, Data Visualization",B.Tech/B.E.,1,58,3.7,2025-04-15
IND2025463,Business Analyst,Google,MNC,Gaming,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.3,"Requirements Gathering, Excel, Agile, JIRA, Power BI",B.Tech/B.E.,10,601,4.1,2025-03-26
IND2025472,Business Analyst,InMobi,Startup,Information Technology,Remote,Remote,Fresher (0-1 yr),Contract,Remote,4.5,"SQL, JIRA, Requirements Gathering, Agile, Excel",MCA,5,242,3.8,2024-09-16
IND2025474,Business Analyst,MakeMyTrip,Indian Unicorn,Information Technology,Chennai,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,7.3,"Agile, Power BI, SQL, JIRA, Excel, Requirements Gathering",B.Tech/B.E.,3,306,3.3,2026-04-26
IND2025477,Data Scientist,PhonePe,Indian Unicorn,Retail,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,84.7,"Tableau, Deep Learning, Machine Learning",B.Com + Certification,10,1057,4.2,2026-04-22
IND2025482,Business Analyst,HAL,PSU/Govt,Information Technology,Bangalore,Tier 1,Senior (6-10 yrs),Full-Time,On-Site,16.9,"JIRA, Power BI, Requirements Gathering",MCA,3,246,3.5,2026-02-02
IND2025492,Data Analyst,Darwinbox,Startup,EdTech,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,56.7,"Statistics, Data Visualization, Tableau",B.Com + Certification,1,96,3.9,2026-04-01
IND2025497,Data Engineer,Cisco,MNC,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,4.1,"Airflow, AWS, ETL, Python, dbt",B.Tech/B.E.,20,1238,4.3,2024-11-21
IND2025503,Data Analyst,Deloitte,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,5.8,"Tableau, Data Visualization, Power BI, Statistics, Python",MCA,1,53,4.2,2024-06-14
IND2025504,Data Scientist,BrowserStack,Startup,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,49.8,"Statistics, Scikit-learn, Machine Learning, Deep Learning, Python",B.Sc (CS/IT),2,233,4.1,2025-11-17
IND2025507,Data Analyst,Tech Mahindra,MNC,FinTech,Delhi,Tier 1,Senior (6-10 yrs),Part-Time,Hybrid,37.5,"Excel, Statistics, SQL, Power BI, Data Visualization",B.Tech/B.E.,1,108,3.2,2025-10-29
IND2025514,Data Scientist,Cognizant,MNC,FinTech,Mumbai,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,8.2,"Scikit-learn, Deep Learning, Statistics, Python, SQL",MBA,15,1508,3.4,2024-06-24
IND2025521,Data Engineer,BrowserStack,Startup,Banking & Finance,Lucknow,Tier 2,Mid (3-6 yrs),Contract,On-Site,19.6,"Airflow, dbt, ETL",M.Tech/M.E.,2,215,3.7,2024-10-06
IND2025542,Data Analyst,Infosys,MNC,EdTech,Bangalore,Tier 1,Senior (6-10 yrs),Full-Time,On-Site,29.0,"Tableau, Data Visualization, SQL, Excel, Power BI, Statistics",B.Tech/B.E.,1,107,3.6,2025-10-21
IND2025548,Data Analyst,Razorpay,Indian Unicorn,Banking & Finance,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,12.6,"Tableau, Statistics, Excel",B.Tech/B.E.,3,267,3.5,2025-09-21
IND2025549,Data Engineer,Cognizant,MNC,EdTech,Delhi,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,5.7,"Python, Airflow, Kafka, ETL, SQL",B.Tech/B.E.,1,112,4.1,2025-02-13
IND2025550,Business Analyst,BSNL,PSU/Govt,Government/PSU,Remote,Remote,Fresher (0-1 yr),Internship,Hybrid,3.0,"Requirements Gathering, Power BI, Excel",B.Tech/B.E.,2,158,4.2,2026-03-15
IND2025552,Data Engineer,Nykaa,Indian Unicorn,Government/PSU,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,7.4,"AWS, Airflow, dbt, ETL, SQL, Spark",MCA,10,278,4.1,2024-06-29
IND2025553,Data Analyst,Cisco,MNC,Media & Entertainment,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,18.3,"Data Visualization, Tableau, Excel",B.Sc (CS/IT),3,253,4.1,2025-07-18
IND2025554,Business Analyst,Fi Money,Startup,EdTech,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,6.9,"SQL, Agile, JIRA",MCA,2,184,4.3,2024-12-27
IND2025556,Data Scientist,Meesho,Indian Unicorn,Information Technology,Bangalore,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.1,"Tableau, Deep Learning, SQL, Statistics, NLP",B.Sc (CS/IT),1,51,4.1,2026-03-14
IND2025559,Business Analyst,Google,MNC,Manufacturing,Chennai,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,5.3,"Power BI, JIRA, Requirements Gathering, SQL",B.Tech/B.E.,2,234,3.9,2026-03-23
IND2025564,Data Analyst,Lenskart,Startup,Information Technology,Hyderabad,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,10.4,"Tableau, Statistics, Power BI, SQL, Data Visualization",B.Com + Certification,1,93,4.2,2025-03-22
IND2025568,Data Scientist,Meesho,Indian Unicorn,E-Commerce,Kolkata,Tier 2,Junior (1-3 yrs),Full-Time,On-Site,18.6,"Pandas, Statistics, Tableau, NLP, Python",MBA,1,94,3.4,2025-01-30
IND2025573,Data Analyst,Capgemini,MNC,Consulting,Lucknow,Tier 2,Lead (10+ yrs),Internship,On-Site,3.1,"Data Visualization, SQL, Power BI, Tableau",B.Tech/B.E.,5,457,4.3,2024-07-29
IND2025575,Data Engineer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,12.6,"SQL, dbt, Spark, Airflow, ETL",B.Tech/B.E.,2,169,4.3,2024-06-18
IND2025597,Data Scientist,Capgemini,MNC,Information Technology,Hyderabad,Tier 1,Senior (6-10 yrs),Full-Time,On-Site,32.8,"Python, TensorFlow, SQL, Scikit-learn",BCA,3,149,4.1,2025-06-22
IND2025601,Data Analyst,MakeMyTrip,Indian Unicorn,E-Commerce,Pune,Tier 1,Senior (6-10 yrs),Internship,On-Site,2.3,"Data Visualization, Excel, SQL, Power BI, Tableau",M.Tech/M.E.,10,667,3.3,2025-07-22
IND2025602,Data Engineer,Dream11,Indian Unicorn,EdTech,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,10.7,"Spark, Airflow, AWS",MCA,2,210,3.2,2024-08-19
IND2025611,Data Analyst,Lenskart,Startup,Government/PSU,Remote,Remote,Lead (10+ yrs),Contract,Remote,72.7,"Tableau, Excel, Data Visualization, SQL, Python, Statistics",PhD,3,307,4.0,2024-06-30
IND2025613,Business Analyst,HAL,PSU/Govt,E-Commerce,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,9.3,"Excel, Requirements Gathering, SQL",MCA,3,302,3.7,2025-03-10
IND2025633,Data Engineer,Cognizant,MNC,FinTech,Indore,Tier 2,Fresher (0-1 yr),Internship,Hybrid,1.7,"ETL, Python, Spark, SQL, AWS, Kafka",MCA,2,211,4.1,2025-08-16
IND2025635,Data Engineer,Swiggy,Indian Unicorn,HealthTech,Chennai,Tier 1,Junior (1-3 yrs),Internship,Hybrid,1.6,"dbt, Spark, Airflow, AWS, SQL",MCA,1,112,3.6,2025-09-04
IND2025636,Data Scientist,Leadsquared,Startup,FinTech,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,24.9,"Python, Statistics, Machine Learning, TensorFlow",M.Tech/M.E.,2,82,3.9,2026-02-25
IND2025640,Data Scientist,Nykaa,Indian Unicorn,Consulting,Pune,Tier 1,Junior (1-3 yrs),Internship,On-Site,2.6,"Machine Learning, Pandas, Scikit-learn",MCA,10,1077,3.3,2024-10-24
IND2025642,Data Engineer,Lenskart,Startup,Manufacturing,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,17.9,"Kafka, SQL, ETL, Airflow",B.Tech/B.E.,3,84,3.3,2025-02-19
IND2025646,Data Engineer,Tech Mahindra,MNC,Manufacturing,Kolkata,Tier 2,Mid (3-6 yrs),Full-Time,On-Site,18.6,"SQL, ETL, Kafka",M.Tech/M.E.,3,311,4.2,2024-09-02
IND2025657,Data Analyst,Nykaa,Indian Unicorn,E-Commerce,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,6.9,"Power BI, Python, Data Visualization, SQL, Statistics, Tableau",MCA,1,91,3.1,2025-12-31
IND2025664,Data Scientist,ONGC,PSU/Govt,Information Technology,Mumbai,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,4.0,"Python, Statistics, TensorFlow",M.Tech/M.E.,3,328,3.7,2025-06-16
IND2025671,Data Analyst,Byju's,Indian Unicorn,Information Technology,Chennai,Tier 1,Fresher (0-1 yr),Full-Time,Hybrid,8.8,"Excel, Power BI, Statistics, Tableau, Data Visualization",M.Tech/M.E.,20,831,4.2,2025-12-19
IND2025672,Business Analyst,Nykaa,Indian Unicorn,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Remote,5.9,"Agile, JIRA, SQL, Power BI",MCA,2,202,4.3,2025-06-07
IND2025676,Data Scientist,Tech Mahindra,MNC,Consulting,Pune,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,17.2,"Machine Learning, SQL, Pandas, Tableau, Python, Statistics",M.Tech/M.E.,1,84,3.9,2025-02-17
IND2025679,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Mid (3-6 yrs),Internship,Remote,2.7,"Power BI, Agile, Requirements Gathering, Excel",B.Tech/B.E.,2,214,4.2,2024-07-11
IND2025680,Data Engineer,Meesho,Indian Unicorn,Information Technology,Remote,Remote,Mid (3-6 yrs),Full-Time,Hybrid,28.4,"SQL, Airflow, Python",B.Com + Certification,5,325,4.1,2025-09-11
IND2025689,Data Engineer,InMobi,Startup,Automobile,Remote,Remote,Lead (10+ yrs),Full-Time,Remote,53.7,"Spark, dbt, Python, SQL, AWS",B.Tech/B.E.,2,107,3.3,2025-11-25
IND2025692,Data Scientist,Tech Mahindra,MNC,Information Technology,Remote,Remote,Mid (3-6 yrs),Contract,Remote,21.2,"NLP, Statistics, Pandas, Python",BCA,3,278,4.2,2024-11-06
IND2025698,Data Analyst,HCL Technologies,MNC,Manufacturing,Bhubaneswar,Tier 2,Fresher (0-1 yr),Contract,On-Site,4.4,"Excel, Statistics, Power BI",MBA,20,2191,3.6,2024-11-29
IND2025705,Data Scientist,IBM,MNC,EdTech,Ahmedabad,Tier 2,Senior (6-10 yrs),Internship,On-Site,2.0,"Tableau, Scikit-learn, TensorFlow, Pandas, Deep Learning, Statistics",B.Tech/B.E.,3,287,3.6,2025-01-30
IND2025715,Data Scientist,Wipro,MNC,FinTech,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,26.7,"SQL, Pandas, Python, Tableau, TensorFlow, Deep Learning",B.Tech/B.E.,1,77,4.2,2026-01-09
IND2025718,Data Analyst,MakeMyTrip,Indian Unicorn,Manufacturing,Remote,Remote,Senior (6-10 yrs),Full-Time,On-Site,36.3,"Excel, SQL, Statistics",B.Tech/B.E.,2,201,3.3,2024-06-04
IND2025720,Data Engineer,DRDO,PSU/Govt,Information Technology,Remote,Remote,Fresher (0-1 yr),Contract,Remote,4.6,"dbt, SQL, AWS, Kafka, Spark",B.Tech/B.E.,1,74,3.4,2025-08-11
IND2025721,Data Scientist,NTPC,PSU/Govt,Banking & Finance,Mumbai,Tier 1,Fresher (0-1 yr),Full-Time,On-Site,4.1,"SQL, Deep Learning, Python, Pandas, Scikit-learn, NLP",BCA,3,344,3.6,2025-04-23
IND2025728,Data Engineer,ONGC,PSU/Govt,EdTech,Bangalore,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,6.1,"Spark, Airflow, dbt, ETL, Kafka",M.Tech/M.E.,2,213,3.7,2024-10-25
